order_id,order_date,region,category,product,quantity,unit_price,discount_percent,unit_cost
42,2025-10-15,North America,Clothing,Jacket,3,1114.43,10,793.14
43,2025-10-10,Europe,Electronics,Laptop,3,822.93,20,502.62
44,2025-01-21,Asia,Sports,Tennis Racket,1,469.3,20,371.53
45,2025-07-28,Europe,Clothing,Jeans,2,536.98,10,410.92
46,2025-06-20,South America,Clothing,Jeans,3,1323.31,0,732.86
47,2025-01-20,South America,Clothing,Jacket,3,1183.19,0,727.38
48,2025-04-27,Europe,Clothing,Jeans,8,530.99,20,392.19
49,2025-05-23,Asia,Electronics,Mouse,7,499.11,20,259.95
50,2025-05-16,North America,Sports,Yoga Mat,1,181.86,0,100.67
51,2025-09-19,North America,Electronics,Monitor,6,1095.53,0,691.19
52,2025-10-03,Europe,Sports,Tennis Racket,5,76.14,5,38.11
53,2025-12-06,North America,Home,Shelf,2,1423.82,0,978.09
54,2025-03-07,Europe,Home,Lamp,7,496.01,15,292.0
55,2025-01-01,Asia,Sports,Dumbbell,3,927.12,0,576.5
56,2025-08-27,South America,Home,Desk,7,1180.78,10,822.31
57,2025-12-04,North America,Sports,Tennis Racket,9,715.05,20,515.4
58,2025-06-08,Europe,Home,Lamp,2,1229.45,20,701.35
59,2025-02-07,South America,Clothing,Jeans,1,78.86,5,53.89
60,2025-12-19,North America,Sports,Tennis Racket,7,746.62,0,406.36
61,2025-01-26,Europe,Electronics,Monitor,4,272.07,15,178.31
62,2025-10-14,Asia,Electronics,Monitor,3,1204.11,15,793.92
63,2025-09-01,South America,Sports,Dumbbell,9,674.41,0,487.66
64,2025-05-03,Asia,Home,Desk,5,1151.06,10,742.87
65,2025-10-04,North America,Sports,Football,5,359.4,0,214.17
66,2025-02-02,South America,Clothing,Jeans,4,580.72,0,413.43
67,2025-08-04,South America,Sports,Yoga Mat,9,704.23,0,395.81
68,2025-07-19,South America,Electronics,Monitor,8,18.79,0,11.08
69,2025-06-22,South America,Clothing,Shoes,4,416.67,5,211.96
70,2025-07-21,North America,Clothing,Shoes,3,1471.28,10,747.54
71,2025-07-14,Asia,Electronics,Monitor,3,1301.61,0,670.44
72,2025-08-04,Asia,Clothing,Shoes,6,512.88,5,299.25
73,2025-06-29,Europe,Electronics,Monitor,1,1126.05,0,900.81
74,2025-11-15,Europe,Electronics,Laptop,1,1424.92,0,1071.21
75,2025-08-27,Asia,Clothing,Jeans,8,1007.49,10,790.2
76,2025-03-25,Asia,Home,Desk,10,914.8,15,654.55
77,2025-04-12,North America,Electronics,Laptop,5,867.94,5,537.25
78,2025-10-17,North America,Clothing,T-Shirt,5,1276.94,10,947.05
79,2025-08-04,South America,Home,Shelf,6,112.75,15,67.92
80,2025-03-20,South America,Electronics,Monitor,6,957.02,20,610.5
81,2025-08-27,South America,Clothing,Jacket,10,1214.22,10,889.29
82,2025-08-19,Europe,Home,Lamp,4,1247.79,0,728.31
83,2025-09-07,Europe,Sports,Dumbbell,6,52.76,20,31.52
84,2025-05-22,North America,Home,Lamp,6,426.69,10,303.1
85,2025-05-04,South America,Clothing,T-Shirt,4,1082.91,5,721.82
86,2025-05-05,Asia,Sports,Dumbbell,1,148.65,0,92.36
87,2025-10-09,Asia,Home,Shelf,9,801.07,5,640.05
88,2025-04-09,Asia,Home,Shelf,5,466.87,0,250.33
89,2025-10-29,Asia,Electronics,Mouse,4,332.41,5,193.78
90,2025-12-29,Europe,Electronics,Mouse,5,348.95,0,206.12
91,2025-11-23,South America,Home,Chair,1,834.5,15,653.6
92,2025-04-05,North America,Electronics,Laptop,10,433.67,5,274.14
93,2025-10-23,North America,Home,Shelf,2,1234.95,5,799.66
94,2025-03-02,South America,Clothing,Jeans,10,1424.2,0,1136.76
95,2025-08-08,Asia,Clothing,Shoes,8,1363.67,0,1033.73
96,2025-03-22,Europe,Electronics,Laptop,4,942.02,0,657.65
97,2025-08-29,Asia,Clothing,T-Shirt,3,13.99,5,9.89
98,2025-02-06,Europe,Electronics,Mouse,5,1063.36,15,805.9
99,2025-05-17,Europe,Home,Desk,7,181.02,0,125.68
100,2025-10-19,Asia,Electronics,Laptop,3,1191.02,10,863.12
101,2025-05-20,South America,Sports,Football,8,1036.13,15,643.18
102,2025-11-06,Asia,Sports,Football,10,69.39,5,49.99
103,2025-10-28,North America,Electronics,Laptop,4,1443.25,20,1094.21
104,2025-05-23,Europe,Home,Chair,3,711.05,15,449.86
105,2025-12-10,North America,Sports,Dumbbell,2,710.32,5,426.19
106,2025-07-25,North America,Clothing,Jacket,7,1043.57,0,729.22
107,2025-07-26,North America,Sports,Football,6,386.07,0,305.4
108,2025-09-13,South America,Sports,Dumbbell,1,289.5,0,198.83
109,2025-12-24,South America,Electronics,Mouse,5,828.34,0,523.04
110,2025-10-10,North America,Electronics,Laptop,10,1200.98,15,657.55
111,2025-03-02,Europe,Sports,Football,4,1488.46,0,950.28
112,2025-08-30,Europe,Sports,Yoga Mat,9,1061.06,5,796.24
113,2025-03-11,North America,Sports,Tennis Racket,7,294.01,10,191.83
114,2025-01-02,Asia,Home,Shelf,6,1402.03,10,813.39
115,2025-10-10,South America,Home,Shelf,3,675.36,5,407.6
116,2025-04-30,South America,Sports,Yoga Mat,4,1471.35,0,988.07
117,2025-12-06,Europe,Electronics,Keyboard,8,1060.79,20,651.72
118,2025-02-21,South America,Sports,Football,3,758.41,10,454.74
119,2025-03-21,North America,Electronics,Monitor,1,1086.44,5,827.08
120,2025-06-18,South America,Sports,Yoga Mat,6,938.66,5,652.32
121,2025-12-17,Asia,Home,Shelf,9,63.49,0,36.22
122,2025-02-21,South America,Clothing,T-Shirt,7,1467.72,20,1012.91
123,2025-07-03,Asia,Clothing,Jacket,1,78.53,20,40.59
124,2025-04-03,Europe,Sports,Tennis Racket,4,801.44,10,564.65
125,2025-09-12,Europe,Clothing,T-Shirt,10,1307.55,10,921.74
126,2025-08-27,Asia,Clothing,Shoes,5,694.76,15,349.34
127,2025-08-06,Asia,Clothing,T-Shirt,8,1418.4,10,836.5
128,2025-05-02,South America,Sports,Yoga Mat,4,1499.07,20,966.84
129,2025-05-21,North America,Home,Lamp,5,42.69,20,29.77
130,2025-06-30,Europe,Electronics,Monitor,5,1165.85,0,795.25
131,2025-06-08,South America,Clothing,Jacket,3,946.09,15,656.49
132,2025-08-01,Europe,Electronics,Keyboard,3,144.3,0,86.29
133,2025-05-20,Europe,Clothing,Jeans,9,1315.93,0,867.53
134,2025-08-28,North America,Home,Shelf,5,1122.37,0,831.98
135,2025-02-16,South America,Clothing,Jeans,7,1451.23,20,968.25
136,2025-12-11,Asia,Electronics,Keyboard,9,194.15,0,136.26
137,2025-10-15,Asia,Sports,Yoga Mat,2,1015.51,5,515.38
138,2025-03-01,Europe,Clothing,T-Shirt,8,1364.99,0,948.36
139,2025-10-03,Europe,Electronics,Laptop,5,1493.93,0,790.52
140,2025-10-04,South America,Sports,Dumbbell,6,1009.02,15,715.34
141,2025-05-24,North America,Clothing,Shoes,2,1252.2,10,779.41
142,2025-02-20,Asia,Home,Desk,8,672.6,0,508.91
143,2025-08-21,North America,Home,Chair,7,421.06,0,330.41
144,2025-10-17,Europe,Clothing,T-Shirt,1,1182.32,0,941.89
145,2025-03-17,North America,Electronics,Mouse,10,331.77,20,189.08
146,2025-12-05,North America,Home,Desk,3,814.92,20,450.12
147,2025-01-09,Europe,Clothing,T-Shirt,6,1187.08,0,803.24
148,2025-02-02,South America,Home,Chair,3,1115.16,10,595.6
149,2025-11-11,North America,Sports,Yoga Mat,9,894.56,5,582.49
150,2025-08-07,North America,Home,Shelf,1,100.63,5,75.89
151,2025-02-03,Europe,Sports,Dumbbell,2,1349.91,0,921.3
152,2025-09-16,South America,Home,Lamp,7,1492.0,10,878.0
153,2025-04-27,South America,Electronics,Laptop,9,1084.05,0,681.89
154,2025-06-10,Asia,Home,Shelf,7,629.82,0,373.96
155,2025-08-10,North America,Home,Desk,8,110.03,20,57.83
156,2025-12-10,North America,Home,Desk,9,99.37,10,66.43
157,2025-05-28,Asia,Sports,Yoga Mat,7,1303.46,15,671.85
158,2025-04-25,North America,Home,Chair,10,766.04,0,533.95
159,2025-08-08,North America,Home,Lamp,2,1146.28,10,650.91
160,2025-06-23,Asia,Home,Chair,3,417.17,20,247.25
161,2025-11-21,North America,Electronics,Mouse,3,853.82,5,444.73
162,2025-06-09,Asia,Electronics,Mouse,7,635.55,0,347.79
163,2025-02-11,Asia,Electronics,Laptop,3,244.54,10,125.92
164,2025-09-20,North America,Sports,Dumbbell,8,914.54,5,532.22
165,2025-09-27,Asia,Home,Shelf,2,432.04,15,292.9
166,2025-06-04,Europe,Electronics,Mouse,7,1476.82,0,741.82
167,2025-08-09,Europe,Clothing,Jacket,5,498.9,0,323.89
168,2025-12-09,Asia,Clothing,Shoes,9,1058.47,10,706.65
169,2025-06-10,South America,Electronics,Monitor,1,659.97,5,512.37
170,2025-03-29,South America,Sports,Dumbbell,5,181.61,0,143.45
171,2025-07-25,North America,Home,Chair,7,1268.28,0,799.91
172,2025-09-19,North America,Sports,Yoga Mat,6,340.14,20,187.23
173,2025-03-17,Europe,Clothing,Jacket,6,1093.79,20,758.69
174,2025-12-02,North America,Electronics,Mouse,5,303.93,10,165.9
175,2025-12-15,Asia,Clothing,Shoes,8,1134.12,20,764.22
176,2025-05-21,North America,Home,Desk,8,111.75,5,77.04
177,2025-05-27,North America,Home,Chair,5,698.0,0,360.91
178,2025-01-22,South America,Electronics,Monitor,8,874.69,20,631.24
179,2025-08-19,North America,Clothing,Jacket,10,718.69,0,565.84
180,2025-08-13,South America,Home,Chair,9,972.73,0,558.66
181,2025-06-23,North America,Clothing,Jacket,6,1377.73,5,857.82
182,2025-05-10,Europe,Home,Chair,6,150.81,15,92.89
183,2025-12-02,South America,Home,Chair,10,998.78,0,592.35
184,2025-03-07,North America,Clothing,T-Shirt,5,842.79,15,621.56
185,2025-06-24,South America,Sports,Yoga Mat,1,550.27,0,432.15
186,2025-02-21,North America,Clothing,Jeans,3,240.87,0,181.45
187,2025-12-21,Europe,Home,Desk,10,571.31,0,316.65
188,2025-08-16,Asia,Sports,Football,7,552.81,15,315.8
189,2025-04-10,Asia,Sports,Tennis Racket,9,366.36,20,269.39
190,2025-03-24,Europe,Sports,Dumbbell,5,1169.4,10,769.74
191,2025-02-22,North America,Clothing,Jacket,1,965.36,20,590.19
192,2025-08-12,North America,Home,Chair,3,416.46,10,226.64
193,2025-09-15,Asia,Clothing,Shoes,6,1396.4,5,720.51
194,2025-02-20,Asia,Clothing,Shoes,2,568.62,0,338.67
195,2025-03-13,South America,Clothing,Jeans,1,437.45,20,280.73
196,2025-10-08,South America,Sports,Football,2,38.32,0,28.76
197,2025-11-24,South America,Electronics,Keyboard,4,458.72,0,262.17
198,2025-10-22,Europe,Electronics,Laptop,8,899.14,0,620.03
199,2025-08-02,Europe,Clothing,Jacket,7,12.33,0,7.05
200,2025-09-17,North America,Electronics,Keyboard,2,1430.57,10,933.02
201,2025-01-09,Asia,Sports,Dumbbell,1,957.15,0,551.41
202,2025-10-25,Asia,Electronics,Keyboard,4,1102.08,15,585.31
203,2025-12-17,South America,Clothing,T-Shirt,6,823.56,20,570.59
204,2025-01-19,Asia,Sports,Tennis Racket,3,104.02,20,81.46
205,2025-09-21,South America,Clothing,T-Shirt,4,1329.83,0,1037.28
206,2025-01-25,Asia,Sports,Yoga Mat,1,1132.4,0,663.4
207,2025-07-17,Asia,Home,Chair,6,661.06,5,477.94
208,2025-02-12,South America,Clothing,Shoes,8,557.35,20,365.5
209,2025-06-14,North America,Electronics,Monitor,10,1492.7,0,990.62
210,2025-03-27,South America,Electronics,Keyboard,5,466.68,10,333.82
211,2025-08-11,Asia,Home,Shelf,1,1092.95,0,748.08
212,2025-03-23,North America,Electronics,Laptop,7,551.33,20,399.7
213,2025-07-07,Asia,Clothing,Shoes,1,198.08,0,145.3
214,2025-07-10,South America,Sports,Football,10,238.62,5,187.23
215,2025-05-08,North America,Electronics,Mouse,9,556.76,0,386.87
216,2025-05-14,South America,Electronics,Mouse,8,781.44,10,418.33
217,2025-08-20,Europe,Clothing,Jacket,8,308.27,0,233.01
218,2025-10-05,Asia,Sports,Football,6,1005.08,15,522.12
219,2025-04-13,Europe,Home,Desk,3,1192.61,10,676.53
220,2025-10-10,Europe,Clothing,Shoes,1,547.74,10,334.49
221,2025-09-27,South America,Electronics,Laptop,5,603.26,15,431.73
222,2025-08-27,Asia,Sports,Football,3,1458.85,15,761.88
223,2025-03-05,Europe,Clothing,Jeans,3,654.6,20,338.18
224,2025-09-23,Asia,Home,Desk,3,490.76,15,278.58
225,2025-11-17,Asia,Electronics,Keyboard,4,956.24,10,556.85
226,2025-11-16,Asia,Electronics,Mouse,10,1412.99,0,779.07
227,2025-05-16,Europe,Electronics,Laptop,2,77.74,15,56.85
228,2025-06-04,South America,Sports,Football,8,1334.61,10,783.28
229,2025-08-14,South America,Clothing,Shoes,5,685.78,15,355.22
230,2025-06-13,Asia,Sports,Dumbbell,4,516.89,0,306.92
231,2025-08-27,North America,Sports,Tennis Racket,6,777.32,0,463.08
232,2025-07-16,South America,Home,Shelf,4,219.91,0,129.1
233,2025-03-23,South America,Clothing,Jeans,6,1401.29,15,832.11
234,2025-09-16,South America,Sports,Dumbbell,5,751.08,0,588.52
235,2025-11-02,South America,Clothing,Jeans,10,535.81,0,313.13
236,2025-07-26,Asia,Home,Chair,2,652.08,0,468.36
237,2025-05-28,North America,Electronics,Monitor,1,859.72,0,523.36
238,2025-03-02,Europe,Sports,Dumbbell,9,426.78,10,300.5
239,2025-07-07,Europe,Electronics,Monitor,6,1194.4,0,797.08
240,2025-06-20,South America,Clothing,Shoes,9,69.98,0,37.87
241,2025-11-10,Asia,Sports,Tennis Racket,10,1340.77,0,802.3
242,2025-09-17,South America,Clothing,Shoes,10,1111.59,0,753.79
243,2025-08-02,Asia,Home,Shelf,1,558.85,15,297.8
244,2025-10-24,Europe,Electronics,Monitor,5,1450.94,20,1148.59
245,2025-07-14,Europe,Electronics,Monitor,3,791.11,15,542.64
246,2025-08-14,Asia,Clothing,T-Shirt,10,1422.83,0,792.85
247,2025-11-10,South America,Sports,Tennis Racket,7,1038.85,5,675.82
248,2025-09-02,South America,Electronics,Mouse,9,318.94,0,254.97
249,2025-12-13,Asia,Home,Desk,8,1369.06,0,908.89
250,2025-06-02,Asia,Sports,Tennis Racket,4,425.72,0,241.58
251,2025-05-21,Asia,Clothing,Shoes,6,724.91,10,565.51
252,2025-05-29,North America,Electronics,Monitor,7,1229.38,20,911.44
253,2025-09-03,Europe,Home,Chair,6,1386.77,15,800.07
254,2025-10-28,Europe,Clothing,Jacket,9,1047.3,0,557.97
255,2025-07-31,Asia,Clothing,T-Shirt,9,346.25,0,178.58
256,2025-03-22,South America,Sports,Football,3,17.72,10,14.06
257,2025-11-27,North America,Sports,Dumbbell,4,1136.31,0,677.64
258,2025-03-31,South America,Electronics,Mouse,9,1110.64,20,867.41
259,2025-05-29,North America,Clothing,T-Shirt,7,1184.06,0,924.73
260,2025-11-25,South America,Electronics,Keyboard,10,908.15,0,531.6
261,2025-08-23,Asia,Clothing,Shoes,5,297.29,0,178.14
262,2025-04-09,Europe,Clothing,T-Shirt,6,1188.24,10,834.53
263,2025-04-05,Europe,Sports,Dumbbell,9,498.61,5,349.41
264,2025-05-17,Asia,Sports,Yoga Mat,4,20.18,5,11.52
265,2025-12-08,North America,Home,Chair,5,983.99,15,561.75
266,2025-12-27,Asia,Sports,Yoga Mat,3,614.07,10,477.09
267,2025-09-02,Europe,Electronics,Keyboard,6,925.79,0,728.79
268,2025-12-07,Europe,Sports,Yoga Mat,7,1055.89,5,767.85
269,2025-10-16,North America,Clothing,T-Shirt,9,675.65,15,411.16
270,2025-09-24,South America,Electronics,Mouse,10,809.62,0,484.51
271,2025-01-29,South America,Electronics,Mouse,10,738.35,10,467.85
272,2025-06-07,North America,Clothing,Shoes,8,850.23,10,543.05
273,2025-08-05,Asia,Sports,Yoga Mat,1,1121.25,10,585.19
274,2025-07-29,Europe,Electronics,Laptop,2,1479.34,5,753.75
275,2025-07-13,South America,Clothing,Shoes,6,1489.36,5,945.09
276,2025-03-07,Europe,Electronics,Mouse,6,186.76,10,115.4
277,2025-09-30,South America,Electronics,Laptop,5,699.88,15,464.25
278,2025-02-27,North America,Clothing,Jeans,8,525.78,0,292.62
279,2025-08-17,North America,Sports,Football,4,317.06,0,215.02
280,2025-01-29,Europe,Clothing,T-Shirt,7,664.05,10,375.31
281,2025-06-14,Europe,Home,Desk,10,485.17,10,355.03
282,2025-10-13,Europe,Home,Desk,9,339.35,0,197.69
283,2025-09-26,Asia,Sports,Dumbbell,1,1458.71,15,1023.14
284,2025-08-31,Europe,Sports,Dumbbell,3,456.83,0,331.81
285,2025-08-02,Europe,Clothing,Jacket,3,1210.61,0,809.55
286,2025-08-19,Asia,Sports,Tennis Racket,5,312.97,15,163.91
287,2025-01-21,North America,Electronics,Mouse,1,410.01,15,279.42
288,2025-01-08,Europe,Clothing,Jeans,8,321.24,0,189.84
289,2025-04-15,South America,Clothing,T-Shirt,8,1372.52,15,935.13
290,2025-06-07,Asia,Clothing,Jacket,5,577.19,10,400.93
291,2025-06-13,Europe,Home,Shelf,8,156.93,15,100.57
292,2025-03-16,North America,Home,Lamp,7,78.12,20,44.25
293,2025-10-19,Europe,Home,Shelf,5,237.09,0,134.91
294,2025-11-25,South America,Sports,Yoga Mat,5,1147.41,5,906.4
295,2025-04-05,North America,Sports,Tennis Racket,6,262.21,15,174.1
296,2025-11-19,Europe,Electronics,Laptop,1,1148.86,5,621.82
297,2025-11-13,South America,Electronics,Mouse,1,335.89,5,205.55
298,2025-09-29,Asia,Sports,Football,1,803.0,5,404.35
299,2025-04-02,North America,Home,Chair,9,1221.6,15,768.6
300,2025-07-01,Asia,Electronics,Mouse,4,295.98,10,170.4
301,2025-12-23,Europe,Sports,Football,6,1439.35,5,963.65
302,2025-09-01,North America,Home,Chair,1,149.32,5,91.56
303,2025-06-19,North America,Electronics,Mouse,2,754.79,5,523.43
304,2025-09-01,Asia,Electronics,Mouse,4,1352.9,15,1036.68
305,2025-04-02,Asia,Electronics,Laptop,5,1349.97,10,941.51
306,2025-07-23,North America,Electronics,Mouse,10,224.85,20,160.5
307,2025-12-13,Asia,Home,Desk,10,368.3,20,278.0
308,2025-08-12,Europe,Sports,Tennis Racket,2,756.18,0,390.27
309,2025-06-17,North America,Electronics,Keyboard,10,1155.82,10,715.47
310,2025-08-10,Europe,Home,Shelf,8,349.93,10,273.77
311,2025-02-12,Asia,Sports,Football,10,450.12,0,321.36
312,2025-02-16,North America,Clothing,Shoes,3,1112.09,0,676.38
313,2025-04-06,South America,Home,Shelf,6,1144.41,0,617.7
314,2025-11-02,Asia,Sports,Dumbbell,2,49.13,0,32.73
315,2025-10-14,Europe,Sports,Football,5,626.58,20,329.21
316,2025-03-16,North America,Clothing,Shoes,3,216.87,0,125.9
317,2025-07-04,Asia,Clothing,Shoes,5,637.44,5,468.39
318,2025-06-05,North America,Clothing,Shoes,10,928.84,5,494.23
319,2025-06-21,South America,Sports,Yoga Mat,10,576.04,20,344.97
320,2025-06-10,Europe,Clothing,Jacket,6,908.78,15,509.15
321,2025-10-22,Europe,Sports,Yoga Mat,5,1104.96,15,715.24
322,2025-10-16,Europe,Home,Shelf,5,1226.58,5,747.61
323,2025-05-30,North America,Clothing,T-Shirt,8,1415.03,0,893.64
324,2025-03-20,South America,Sports,Dumbbell,3,953.67,0,549.13
325,2025-10-01,South America,Sports,Football,8,1486.14,5,1002.66
326,2025-05-08,Asia,Electronics,Keyboard,9,894.79,0,476.75
327,2025-06-19,South America,Clothing,T-Shirt,10,1475.58,15,1024.09
328,2025-10-13,Europe,Electronics,Laptop,2,395.52,10,286.38
329,2025-09-14,Europe,Sports,Yoga Mat,7,699.96,15,473.58
330,2025-02-13,North America,Home,Chair,8,165.78,5,128.67
331,2025-09-05,Asia,Clothing,Jacket,5,521.17,20,292.93
332,2025-06-03,North America,Sports,Football,8,1085.77,5,646.76
333,2025-05-05,Europe,Electronics,Laptop,6,975.48,15,721.87
334,2025-07-27,Europe,Clothing,Jacket,9,645.29,5,367.53
335,2025-08-19,South America,Clothing,Shoes,7,53.5,10,40.92
336,2025-02-02,North America,Sports,Football,4,316.62,20,225.16
337,2025-09-08,Asia,Clothing,Jacket,6,303.64,0,175.72
338,2025-11-13,Europe,Sports,Dumbbell,10,180.21,0,135.82
339,2025-04-04,Asia,Home,Chair,3,476.65,0,281.99
340,2025-04-06,South America,Clothing,Shoes,7,898.67,10,552.78
341,2025-08-19,North America,Clothing,Jeans,8,440.36,0,261.74
342,2025-10-15,South America,Home,Chair,8,213.44,20,131.3
343,2025-02-12,North America,Sports,Dumbbell,7,1068.11,5,690.65
344,2025-08-23,South America,Clothing,Jacket,1,419.53,10,246.1
345,2025-10-05,North America,Electronics,Laptop,5,1164.92,20,928.75
346,2025-05-07,Asia,Sports,Tennis Racket,7,162.6,20,113.19
347,2025-03-02,Europe,Electronics,Monitor,5,529.38,20,278.5
348,2025-04-16,Europe,Clothing,Jacket,10,952.83,0,652.54
349,2025-12-27,Asia,Electronics,Keyboard,9,428.82,10,236.07
350,2025-03-11,South America,Home,Lamp,9,1478.38,15,1100.73
351,2025-12-31,Asia,Electronics,Keyboard,3,1055.13,0,606.6
352,2025-08-01,South America,Clothing,Shoes,8,221.84,15,128.8
353,2025-07-08,South America,Sports,Football,2,610.25,15,356.06
354,2025-02-17,South America,Sports,Yoga Mat,10,13.68,20,10.32
355,2025-09-11,Asia,Home,Chair,9,602.6,5,450.42
356,2025-09-06,Asia,Home,Lamp,6,825.49,0,552.95
357,2025-03-05,Europe,Electronics,Laptop,2,943.01,20,601.52
358,2025-12-19,Europe,Sports,Dumbbell,1,1487.84,5,834.23
359,2025-07-10,Europe,Home,Desk,5,149.08,0,85.74
360,2025-12-02,North America,Electronics,Monitor,5,1091.72,20,622.55
361,2025-09-23,South America,Electronics,Laptop,4,720.44,0,488.53
362,2025-03-09,South America,Electronics,Laptop,6,1227.49,20,769.26
363,2025-06-10,Asia,Electronics,Mouse,7,143.1,20,75.95
364,2025-11-25,Europe,Home,Desk,7,1162.46,20,886.2
365,2025-04-20,Europe,Electronics,Laptop,10,978.53,5,592.36
366,2025-03-05,South America,Sports,Dumbbell,4,139.17,0,75.43
367,2025-02-13,Europe,Home,Shelf,6,1188.7,0,693.12
368,2025-07-20,Asia,Home,Chair,5,316.11,10,206.37
369,2025-11-01,North America,Electronics,Mouse,8,584.97,0,380.16
370,2025-08-04,Asia,Electronics,Keyboard,6,206.65,20,155.34
371,2025-04-21,North America,Clothing,Shoes,2,34.87,0,17.58
372,2025-08-01,South America,Electronics,Monitor,9,436.87,15,284.1
373,2025-06-08,North America,Sports,Football,9,811.11,0,473.07
374,2025-11-29,North America,Clothing,Jeans,9,496.86,10,342.98
375,2025-03-01,South America,Home,Shelf,4,96.28,0,74.85
376,2025-01-06,Europe,Electronics,Keyboard,3,187.97,15,101.72
377,2025-03-27,Asia,Sports,Yoga Mat,9,780.66,20,559.13
378,2025-08-08,Asia,Clothing,Jacket,2,1159.43,0,696.24
379,2025-07-04,North America,Electronics,Keyboard,10,945.02,5,601.56
380,2025-10-21,North America,Sports,Tennis Racket,6,244.39,20,129.74
381,2025-08-30,Asia,Clothing,T-Shirt,1,1289.45,0,739.33
382,2025-12-02,South America,Sports,Tennis Racket,3,1397.43,20,713.54
383,2025-02-09,Asia,Clothing,Jacket,4,630.22,15,375.6
384,2025-07-25,North America,Electronics,Laptop,3,342.55,10,272.13
385,2025-07-08,Europe,Sports,Yoga Mat,5,497.68,10,317.03
386,2025-09-10,Europe,Home,Lamp,10,371.45,0,251.66
387,2025-06-27,North America,Clothing,Jeans,1,1399.27,0,797.44
388,2025-04-16,Europe,Home,Chair,7,1275.02,15,755.13
389,2025-02-17,North America,Sports,Dumbbell,1,1459.11,0,1041.07
390,2025-02-18,Europe,Clothing,Shoes,6,693.1,15,364.2
391,2025-03-08,Europe,Sports,Football,10,856.05,5,598.15
392,2025-06-17,Asia,Home,Lamp,6,1389.8,5,987.06
393,2025-10-27,North America,Sports,Yoga Mat,4,121.28,0,65.59
394,2025-10-02,Asia,Clothing,T-Shirt,3,679.85,0,422.84
395,2025-03-22,Asia,Clothing,Shoes,5,700.39,20,375.39
396,2025-07-02,South America,Electronics,Mouse,6,231.0,15,132.7
397,2025-07-27,South America,Electronics,Keyboard,5,1231.93,0,627.45
398,2025-01-07,North America,Clothing,T-Shirt,8,161.84,20,87.71
399,2025-11-27,North America,Clothing,Jeans,4,1237.27,0,873.37
400,2025-08-16,Europe,Home,Chair,1,1495.77,0,1152.86
401,2025-10-21,South America,Electronics,Keyboard,2,73.62,5,37.93
402,2025-04-20,Europe,Sports,Dumbbell,1,580.27,5,320.22
